id,relativeReadability,lexicalDiversity,topTopicSimilarity,syllableRate,PRP$,VBG,VBD,VBN,VBP,WDT,JJ,WP,VBZ,DT,NN,TO,PRP,RB,NNS,NNP,VB,WRB,CC,CD,EX,IN,WP$,MD,JJS,JJR,``,'',:,topic-0,topic-1,topic-2,topic-3,topic-4,topic-5,topic-6,topic-7,topic-8,topic-9,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29,heat
-1BnXEwHUok-900,1.0611214301800942,0.42441860465116277,0.2608695652173913,2.108,0,0.023,0,0,0.029,0,0.052,0.006,0.064,0.157,0.105,0.023,0.093,0.041,0.047,0.029,0.058,0.012,0.023,0.041,0,0.134,0,0.035,0,0.012,0,0,0,5,0.24628672624637954,5,5,5,5,5,5,5,0.5521167382423435,0.4092202326612262,5,5,5,5,5,5,5,5,5,0.8485413150085296,5,5,0.7352065422059427,5,5,5,5,5,0.8485413150085296,0.219
-1BnXEwHUok-990,1.081357953497825,0.4788732394366197,0.16666666666666666,2.6,0.005,0.019,0.033,0.005,0.047,0,0.108,0,0.019,0.141,0.113,0,0.052,0.047,0.042,0.047,0.023,0.019,0.028,0.061,0,0.164,0,0.005,0,0,0,0,0.014,5,0.4102967840442521,5,0.8883059290963761,5,5,5,5,5,5,0.463035243470657,5,5,5,0.29104301253482157,5,5,5,5,5,5,5,5,5,5,0.8539637599116063,5,5,5,5,0.1
-1BnXEwHUok-1080,1.0141325463474422,0.45054945054945056,0.24,2.175,0,0.044,0,0.005,0.038,0.016,0.033,0.011,0.06,0.104,0.093,0.005,0.099,0.06,0.027,0.044,0.027,0.011,0.016,0.071,0.005,0.187,0,0.027,0.005,0.005,0,0,0,5,0.3024720653135028,5,5,5,5,5,5,5,0.8608338466895692,5,5,5,5,5,5,5,0.9112192870761866,5,5,0.9084867378395075,5,5,0.9342008030018202,5,5,5,5,5,0.5794212782405879,0.415
-1BnXEwHUok-1170,0.9440331795580973,0.5073891625615764,0.36666666666666664,2.242,0.005,0.039,0,0.01,0.064,0,0.034,0.01,0.034,0.094,0.118,0.059,0.094,0.089,0.044,0.015,0.074,0,0.03,0.044,0,0.094,0,0.01,0,0.005,0,0,0.02,5,0.883263828785784,0.9156716477772178,5,0.4412021739564293,5,5,5,5,0.5707838863053503,0.849162481307926,0.9074049480579037,0.8317414141587046,5,5,5,5,5,5,5,0.9035704409087265,5,0.5534494506754781,0.9097479931097615,5,5,5,5,5,0.9074049480579037,0.663
-1BnXEwHUok-1260,0.9055569673366292,0.4847161572052402,0.27586206896551724,2.425,0,0.035,0.013,0.004,0.048,0.022,0.017,0.004,0.044,0.127,0.131,0.039,0.092,0.083,0.031,0.004,0.074,0.004,0.031,0.035,0.004,0.083,0,0.035,0,0,0,0,0.031,5,5,0.32671263722678984,5,0.9228683471537761,5,5,5,5,0.5513799788732364,5,0.3212763591209541,5,5,5,5,5,5,5,5,5,0.5491599265667526,5,0.8588730422688885,0.8588730422688885,5,5,5,5,0.5340834788509731,0.703
-1BnXEwHUok-1350,0.9880592374937843,0.42245989304812837,0.4666666666666667,2.192,0,0.021,0.027,0.027,0.075,0.011,0.043,0.005,0.027,0.112,0.091,0.032,0.102,0.059,0.032,0.032,0.053,0.021,0.032,0.011,0.016,0.118,0,0.021,0.005,0,0,0,0.005,5,0.3014354053186254,0.8780593296869252,5,0.8873671046502798,5,5,5,5,5,5,0.8410255025771894,5,0.5674706323844725,5,5,5,5,0.9314728460278777,5,5,5,0.9147003607758099,5,5,5,5,5,5,5,0.607
-1BnXEwHUok-1440,0.9895254581321248,0.4939759036144578,0.12,2.008,0.006,0.018,0.012,0.018,0.066,0.024,0.054,0.018,0.066,0.108,0.145,0.018,0.072,0.072,0.03,0.024,0.072,0.012,0.012,0.018,0.006,0.096,0,0.018,0.006,0,0,0,0.006,5,5,0.32964984437520833,5,5,5,5,5,5,5,5,5,5,0.37314992193852453,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.8749852755668713,5,0.89
-1BnXEwHUok-1530,0.8620707944976255,0.4426877470355731,0.25925925925925924,2.708,0.004,0.012,0.012,0.008,0.079,0,0.063,0.028,0.051,0.067,0.103,0.036,0.154,0.087,0.012,0.012,0.091,0.012,0.032,0.016,0.004,0.087,0,0.024,0,0.008,0,0,0,5,5,0.3420945275823723,5,5,5,5,5,5,0.8958835501937824,5,5,0.9105406905178424,0.5614399825635975,5,5,5,5,5,5,0.9152576258471583,5,5,5,5,0.8958835501937824,5,5,5,0.9204307632750475,0.579
-1BnXEwHUok-1620,1.1072721858737034,0.4797687861271676,0.2692307692307692,2.033,0,0.012,0.046,0.006,0.017,0,0.058,0.029,0.081,0.133,0.127,0.023,0.081,0.058,0.023,0.023,0.046,0.017,0.029,0.087,0,0.081,0,0,0,0,0,0,0,5,0.31061570457418,5,5,0.8143934540583527,5,5,5,5,0.9195982507828838,5,0.556815542120166,0.5374446217961087,5,5,5,5,5,0.7991891435679525,5,5,5,5,5,5,5,5,5,5,0.9306193052271681,0.47
-1BnXEwHUok-1710,1.0222364460484454,0.4578313253012048,0.4117647058823529,1.908,0.018,0.012,0.018,0.024,0.048,0,0.036,0.012,0.03,0.096,0.114,0.024,0.114,0.114,0.012,0.006,0.072,0.012,0.048,0.042,0,0.09,0,0.024,0,0.006,0,0,0,5,0.38808929749605003,0.8116294150023665,5,0.5570891757234555,5,5,5,5,5,0.3660201056797257,0.5440589843634416,5,5,5,5,5,5,5,5,5,5,0.8182873716729704,0.4398093372825551,5,5,5,5,5,5,0.224
-1BnXEwHUok-1800,0.9735776929769894,0.47465437788018433,0.3333333333333333,2.558,0.005,0.018,0.014,0.014,0.046,0.005,0.06,0.018,0.046,0.134,0.129,0.028,0.092,0.083,0.023,0.028,0.06,0.014,0.014,0.018,0.009,0.092,0,0.028,0.005,0,0,0,0.005,5,0.35871608910613867,5,0.5670383528435784,0.42047020221457604,0.4280821015587599,5,5,5,5,0.8255882321693658,0.8622614301011987,0.8950639714736236,5,5,5,5,0.5289139831367935,5,5,5,5,5,0.8622614301011987,5,5,0.905792177161741,5,5,5,0.424
-1BnXEwHUok-1890,0.9830560322426326,0.47802197802197804,0.23333333333333334,2.167,0,0.022,0.016,0.005,0.038,0,0.055,0.022,0.06,0.132,0.143,0.016,0.093,0.044,0.055,0.011,0.038,0.005,0.038,0.049,0.005,0.11,0,0.011,0.005,0.016,0,0,0,5,0.5382744845884061,0.3683508940584896,0.4250434354929962,5,0.47976442347375203,5,5,5,5,5,5,0.8933337217743412,5,5,5,5,5,0.9081249387701384,5,0.9081249387701384,5,5,5,5,5,5,5,5,5,0.526
-1BnXEwHUok-1980,0.9221840387455674,0.4611872146118721,0.3,2.392,0,0.014,0.005,0.005,0.023,0,0.055,0,0.027,0.123,0.16,0.009,0.059,0.041,0.068,0.014,0.032,0,0.05,0.05,0,0.219,0,0.027,0,0.005,0,0,0.014,5,5,0.20646814485277407,0.29571396148889245,5,0.366235150209496,0.5835305678893827,5,5,5,5,0.367394423267311,5,0.9023019383673772,5,5,0.5257490776716905,5,5,5,5,5,0.8762639693108428,5,5,5,0.4212607749065261,5,5,5,0.291
-1BnXEwHUok-2070,1.0378913561758087,0.47333333333333333,0.25925925925925924,1.875,0,0.013,0.027,0.047,0.047,0.02,0.067,0.007,0.06,0.107,0.107,0.007,0.113,0.093,0.033,0.007,0.027,0.013,0.033,0.053,0,0.08,0,0.02,0,0,0,0,0,5,0.3398397358380469,0.5792806767503005,0.45437340944216476,5,0.9008572697950943,5,5,5,5,5,0.9276062124773771,0.9239764813349031,5,5,5,5,0.36726525967570767,5,5,5,5,5,5,5,5,5,5,5,5,0.133
-1BnXEwHUok-2160,0.9785040972477584,0.5053763440860215,0.3103448275862069,2.192,0.005,0.022,0.027,0,0.043,0,0.075,0,0.038,0.145,0.156,0.016,0.059,0.048,0.054,0.005,0.032,0.016,0.043,0.075,0.005,0.091,0,0.011,0,0.005,0,0,0.022,5,0.8908445356429718,0.4439645969145302,0.32306487790030963,0.41403727369568566,0.2847958148711516,5,5,5,5,5,5,5,5,5,5,5,0.8438161876098776,0.908688883666105,5,0.8986877378505878,5,5,5,5,0.5545143181596393,5,5,5,5,0.224
-1BnXEwHUok-2250,0.984839260778851,0.43902439024390244,0.26666666666666666,1.8,0,0.024,0.012,0,0.055,0.012,0.067,0.012,0.067,0.091,0.104,0.037,0.085,0.073,0.018,0.006,0.067,0.018,0.049,0.043,0.006,0.122,0,0.018,0,0,0,0,0,5,0.9219248103854818,5,0.5631280285822934,0.912370454049945,5,5,5,5,0.9003880090518968,5,5,5,5,5,5,5,5,5,5,0.5613235836749233,5,0.44422749409867107,0.8621702966474092,5,5,5,5,0.8855187628068568,5,0.34
-1BnXEwHUok-2340,1.0478914439468627,0.5588235294117647,0.3333333333333333,2.05,0,0.029,0.018,0,0.053,0,0.065,0,0.041,0.082,0.088,0.035,0.094,0.065,0.035,0.106,0.047,0.012,0.041,0.059,0.006,0.082,0,0.012,0,0.006,0,0,0.012,0.13883208270180394,0.922252650959279,5,5,0.45075889664776936,0.9312153885531438,5,0.20173412469013943,5,5,5,5,0.573576317862823,5,5,5,5,5,0.453949998979377,5,0.5784141712837829,5,5,5,0.2279201659501515,0.9196129627589449,5,5,5,5,0.463
-1BnXEwHUok-2430,0.9589903559905265,0.4727272727272727,0.16666666666666666,2.55,0.005,0.005,0.014,0,0.059,0.005,0.064,0,0.036,0.105,0.086,0.018,0.1,0.091,0.036,0.05,0.068,0.014,0.027,0.041,0,0.118,0,0.045,0,0,0,0,0,5,5,5,5,5,0.4348912372998412,0.31154725887351475,0.6203181407676474,5,5,5,5,5,5,5,5,5,5,0.9097770494166809,5,0.9058876014599943,5,5,5,5,5,5,5,5,5,0.124
-1BnXEwHUok-2520,1.0022082327527821,0.49044585987261147,0.3333333333333333,1.725,0.013,0,0.013,0.032,0.089,0.006,0.051,0,0.025,0.057,0.038,0.013,0.134,0.076,0.051,0.108,0.07,0.019,0.019,0.045,0.006,0.089,0,0.032,0,0,0,0,0.006,0.21867491627581093,0.5774198228317869,5,0.580357706622669,5,0.43918000615450176,0.3927550869785531,0.5964590353814974,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.157
-1BnXEwHUok-2610,1.058477888394681,0.453125,0.3,2.267,0,0.026,0.047,0.016,0.026,0.005,0.057,0.026,0.031,0.13,0.115,0.026,0.062,0.099,0.062,0.016,0.042,0.005,0.052,0.021,0,0.104,0,0.01,0,0,0,0,0.01,5,0.5516821294068314,5,0.8904710140457602,0.5409070249343053,0.8820751742158299,0.3527817573079055,5,5,0.5321691138710526,5,5,5,5,5,5,5,5,5,0.5178203666062515,0.8273964804827841,5,5,5,5,5,0.3295562560713835,5,5,5,0.112
-1BnXEwHUok-2700,1.0328843775063425,0.4573643410852713,0.3157894736842105,1.658,0,0.031,0.008,0.023,0.054,0.008,0.039,0.016,0.039,0.078,0.101,0.039,0.085,0.147,0.039,0.008,0.07,0.008,0.054,0.023,0,0.085,0,0.023,0,0,0,0,0,5,0.8986653923842695,5,5,0.8786007774029794,0.5810063508820936,5,5,5,5,5,5,5,5,5,5,5,5,5,0.5485566218171054,5,5,0.5578929114124938,5,5,5,0.5578929114124938,5,5,5,0.178
-1BnXEwHUok-2790,1.0852302173220298,0.4602272727272727,0.16666666666666666,2.225,0.006,0,0.006,0.011,0.057,0.017,0.08,0.011,0.074,0.108,0.119,0.04,0.119,0.04,0.051,0.017,0.045,0.045,0.017,0,0,0.114,0,0.006,0.006,0,0,0,0,5,5,5,5,0.43734461875783276,5,5,5,5,5,5,5,0.7444307277427035,5,5,5,0.37137899740501157,5,5,0.31345818596186864,5,5,5,5,5,0.569074695986148,5,5,5,5,0.246
-1BnXEwHUok-2880,1.0115802261163849,0.4786729857819905,0.23333333333333334,2.625,0,0.009,0.043,0.014,0.052,0.009,0.076,0.009,0.009,0.09,0.109,0.047,0.109,0.066,0.062,0.009,0.066,0.009,0.028,0.009,0,0.128,0,0.024,0,0,0.005,0.005,0.005,5,5,5,0.5397864333231326,0.36187146130479736,0.4178262578703851,5,5,5,5,5,5,0.5473533906323478,5,5,5,5,5,0.5624677197469902,0.3543677883411201,5,5,5,5,5,0.9146712591109737,5,5,5,5,0.231
-1BnXEwHUok-2970,0.8845120626924634,0.47368421052631576,0.4,0.208,0,0.053,0,0,0,0,0,0,0,0.158,0.158,0,0.105,0.053,0.053,0,0.105,0,0.105,0,0,0.158,0,0.053,0,0,0,0,0,5,5,5,5,0.8718416752329483,5,5,5,5,5,5,5,5,0.8431394748439405,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.197
-6rWqJhDv7M-0,0.03529983384705392,0.38144329896907214,0.2,1.967,0.031,0.015,0.005,0.005,0.052,0.021,0.067,0.021,0.108,0.108,0.139,0.021,0.093,0.072,0.01,0.01,0.041,0,0.01,0.01,0.015,0.108,0,0.01,0,0,0,0,0,0.255987934421469,0.35624678230391205,5,5,0.40308308432471623,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.23725380068735288,5,0.7709863823627663,5,0.6201479583701626,5,0.1
-6rWqJhDv7M-90,0.03844996567987104,0.3944954128440367,0.3,2.258,0.014,0.032,0,0.018,0.069,0.014,0.028,0.032,0.055,0.087,0.133,0.037,0.124,0.06,0.023,0,0.055,0.009,0.041,0.005,0,0.142,0,0.018,0,0,0,0,0,0.26194682340527536,5,5,5,0.7709699748995709,5,5,5,5,5,5,5,5,0.7709699748995709,5,5,0.7709699748995709,0.7709699748995709,5,5,0.7709699748995709,5,5,0.7709699748995709,5,0.7709699748995709,5,5,0.7709699748995709,5,0.1
-6rWqJhDv7M-180,0.0393040203898856,0.415929203539823,0.26666666666666666,2.475,0.027,0,0.004,0,0.022,0.022,0.058,0.013,0.071,0.115,0.19,0.027,0.053,0.066,0.022,0.004,0.035,0.031,0.044,0.009,0.013,0.124,0,0.018,0,0.013,0,0,0,0.20703171911880927,5,5,5,5,5,5,5,5,5,5,5,5,0.28967578712388503,0.4002400916601552,5,5,5,5,0.2997244072928624,0.6003021069974086,5,0.6150156877052304,0.3838997559949329,5,5,0.3372653567774065,5,5,5,1.0
-6rWqJhDv7M-270,0.039691780087528335,0.43043478260869567,0.16666666666666666,2.533,0.009,0.013,0.013,0.013,0.078,0.013,0.052,0.009,0.057,0.126,0.135,0.022,0.135,0.043,0.048,0.004,0.035,0.009,0.017,0.009,0.013,0.13,0,0.004,0,0,0,0,0,5,0.2620853748954625,5,0.3398973327733446,0.36301773464776876,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.3429514874509662,0.800189467740684,5,5,0.1
-6rWqJhDv7M-360,0.04118972337731637,0.475,0.23333333333333334,2.65,0.008,0.017,0.004,0.013,0.071,0.013,0.075,0.013,0.087,0.121,0.142,0.021,0.092,0.1,0.033,0,0.021,0.013,0.004,0.017,0.013,0.117,0,0.004,0,0,0,0,0,0.2170276794148476,5,5,5,5,5,5,5,5,0.23311818851057498,5,5,5,5,0.4435596120119844,5,5,5,5,0.4827459553567236,0.4435596120119844,5,0.6165701449544793,5,5,5,0.7319163631065545,5,5,5,0.1
-6rWqJhDv7M-450,0.04088362431786346,0.45414847161572053,0.16666666666666666,2.6,0.017,0.013,0.017,0.017,0.022,0.009,0.044,0.017,0.096,0.14,0.135,0.004,0.083,0.07,0.017,0,0.048,0.009,0.035,0.031,0.004,0.1,0,0.022,0,0,0,0,0,0.24700148356651666,5,5,5,0.6545482168720624,5,5,5,5,0.6545482168720624,5,5,5,5,0.6545482168720624,5,5,5,5,5,0.6545482168720624,5,5,5,5,5,5,5,5,5,0.1
-6rWqJhDv7M-540,0.03967639917125191,0.5277777777777778,0.26666666666666666,2.325,0,0.014,0.005,0.023,0.083,0.005,0.083,0,0.028,0.12,0.083,0.005,0.106,0.079,0.06,0.005,0.042,0.009,0.056,0.065,0,0.097,0,0.019,0,0.009,0,0,0,0.34908865574758013,5,5,5,0.7081533784006571,5,5,5,5,0.278836599074066,5,5,5,5,0.7850310891629415,5,5,5,5,0.494085809849036,0.7850310891629415,5,5,0.8161142974169397,5,5,5,0.7850310891629415,5,5,0.1
-6rWqJhDv7M-630,0.04002173503859792,0.4424778761061947,0.13333333333333333,2.392,0.027,0.018,0.004,0.013,0.035,0.013,0.071,0.004,0.084,0.088,0.124,0.031,0.071,0.084,0.035,0.009,0.018,0.027,0.022,0.044,0.013,0.111,0,0.009,0,0.027,0,0,0,0.246868539853789,5,5,5,5,5,5,5,5,0.2543336514336773,5,5,5,0.626344369816728,5,5,5,5,5,5,5,5,5,5,5,5,5,0.6469065871750009,5,5,0.1
-6rWqJhDv7M-720,0.04144092122936679,0.388,0.16666666666666666,2.592,0.016,0.012,0.024,0.032,0.076,0.02,0.06,0.004,0.048,0.104,0.1,0.02,0.116,0.084,0.032,0.008,0.02,0.012,0.032,0,0.008,0.132,0,0.012,0,0.012,0,0,0,0.3254563283292511,5,5,0.7249807766587926,5,5,5,5,5,5,5,5,5,5,0.7249807766587926,5,5,5,5,5,0.6944672852817527,5,5,5,5,5,0.7807377112280998,5,5,5,0.1
-6rWqJhDv7M-810,0.04018157812765108,0.4052863436123348,0.36666666666666664,2.475,0.004,0.013,0.018,0.013,0.062,0.013,0.07,0.018,0.066,0.084,0.115,0.004,0.101,0.176,0.013,0.004,0.013,0,0.026,0.018,0.009,0.137,0,0,0,0.009,0,0,0,0.27492736204450696,5,5,5,0.8095539644797861,5,5,5,5,5,5,0.37711981338470735,5,5,0.4979039724923325,0.7903786482855771,5,5,5,0.7408814983132747,0.4979039724923324,5,5,5,0.32192790405828936,5,0.7903786482855771,5,0.8095539644797861,0.6691515002633132,0.1
-6rWqJhDv7M-900,0.044405189053188875,0.3745173745173745,0.32,2.65,0,0.012,0.019,0,0.069,0.004,0.039,0.008,0.031,0.081,0.081,0.035,0.178,0.077,0.05,0.012,0.062,0.004,0.039,0.015,0.008,0.154,0,0.019,0,0,0,0,0,0.31004788247369724,0.4718057053083745,5,0.8474778291309797,0.862582662856045,5,5,5,5,5,5,5,5,5,0.7780595501982907,5,5,5,5,5,0.7780595501982907,5,1.5340619976036,5,5,5,5,0.3713263057032207,5,5,0.1
-6rWqJhDv7M-990,0.042743031774495725,0.4219409282700422,0.13333333333333333,2.508,0.017,0.008,0.004,0.008,0.046,0.021,0.046,0.004,0.059,0.131,0.139,0.004,0.097,0.063,0.025,0.013,0.042,0.008,0.021,0.025,0.008,0.169,0,0.025,0,0.008,0,0,0,0.285214219828141,5,5,0.2831620207637009,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.4954483176398479,0.3379980850809387,5,5,5,5,5,0.1
-6rWqJhDv7M-1080,0.04373482721354595,0.4105691056910569,0.2,2.767,0.004,0.016,0.008,0.004,0.041,0.008,0.102,0.016,0.081,0.122,0.11,0.012,0.081,0.077,0.028,0.02,0.028,0.008,0.02,0.008,0.02,0.15,0,0.016,0,0.008,0,0,0,5,0.3265134555690266,5,0.4649453025730428,5,5,5,5,5,5,5,5,5,0.7273311302972703,5,5,5,5,5,5,5,5,5,0.7273311302972703,0.7273311302972703,5,5,5,0.7084945552153482,5,0.1
-6rWqJhDv7M-1170,0.037634857438310486,0.4,0.3333333333333333,2.217,0.005,0.026,0.016,0.021,0.047,0,0.079,0.026,0.047,0.137,0.126,0.011,0.058,0.095,0.016,0,0.026,0.005,0.047,0.016,0.016,0.158,0,0.005,0,0,0,0,0,0.5030283265166557,0.786293462144634,5,5,5,5,0.5113158108048795,5,5,5,5,5,5,5,0.5100623991695942,0.4670132905863232,5,5,5,5,0.8384075430309545,5,2.1036008849554757,0.4885293996338642,0.7991316886135382,5,5,5,0.6985274614151815,5,0.1
-6rWqJhDv7M-1260,0.0450034310078668,0.48717948717948717,0.13333333333333333,2.892,0,0,0,0.004,0.043,0.013,0.094,0,0.085,0.12,0.154,0.004,0.064,0.068,0.068,0.017,0.047,0.013,0.026,0.009,0.013,0.132,0,0.004,0,0,0,0,0,5,0.27607212913246915,5,0.26317939320384354,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.33961948049871665,0.3374330688864024,5,0.1
-6rWqJhDv7M-1350,0.042840457397495556,0.4926829268292683,0.13333333333333333,2.583,0.005,0.005,0.02,0.034,0.063,0.01,0.083,0.005,0.044,0.156,0.171,0.005,0.068,0.068,0.039,0.02,0.01,0.01,0.054,0.005,0,0.098,0,0.01,0.005,0,0,0,0,5,0.4031514045905994,5,0.31367970059567574,5,5,5,5,5,5,5,5,0.2461915838784602,5,5,5,5,5,5,5,5,0.3257088465799489,5,5,5,5,5,5,5,5,0.1
-6rWqJhDv7M-1440,0.04272367229296471,0.4574898785425101,0.26666666666666666,2.725,0.02,0.008,0.012,0.012,0.049,0.012,0.085,0.008,0.053,0.117,0.13,0.008,0.097,0.085,0.065,0.004,0.02,0.012,0.024,0.016,0.004,0.126,0,0.004,0,0.004,0,0,0,5,5,5,5,0.523596044114095,5,0.26111916081757647,5,5,5,5,5,0.3288581296672503,0.5414572171612608,0.3670773217186215,5,5,5,5,5,0.5198212880950716,5,5,0.7446796932551499,5,5,5,0.8349215240106771,5,5,0.1
-6rWqJhDv7M-1530,0.04550889504986845,0.41452991452991456,0.16666666666666666,2.908,0.009,0.013,0.009,0.013,0.056,0.017,0.073,0.004,0.073,0.167,0.154,0.021,0.077,0.043,0.038,0.009,0.03,0.013,0.034,0,0,0.145,0,0,0,0,0,0,0,5,5,5,5,0.3003309269987938,5,0.6008878070068172,5,5,5,5,5,0.3210165994135722,0.41086632087426356,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.6485635430969425,5,0.1
-6rWqJhDv7M-1620,0.03967650009331027,0.4068627450980392,0.26666666666666666,2.442,0.01,0.005,0.015,0.02,0.044,0.015,0.064,0.015,0.064,0.147,0.196,0.015,0.088,0.044,0.015,0.01,0.02,0.015,0.034,0,0.005,0.157,0,0.005,0,0,0,0,0,0.38128211685243674,0.28538819667618837,5,0.3974262334380205,5,5,0.21717275482129003,5,5,5,5,5,0.4131179223510306,0.6930250349270543,0.419316478041159,0.38569631463524395,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.1
